year,aea_energy_region,plant_name,total,ff-turbines,recip-ice,hydro,wind,utility-solar,batteries,flywheel,other,source,data_version
2021,Copper River/Chugach,Glennallen,9.2,0,9.2,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,George M Sullivan Generation Plant 2,346.9,346.9,0,0,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Gambell,2.25,0,1.95,0,0.3,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Galena Electric Utility,3.9,0,3.9,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Fort Greely Power Plant,7.4,0,7.4,0,0,0,0,0,,0,Early Release
2021,Kodiak,Flywheel Energy Storage System Microgrid,2,0,0,0,0,0,0,0,,AEA,Early Release
2021,Railbelt,Fire Island Wind,18,0,0,0,18,0,0,0,,AEA PH Assessment,Early Release
2021,Aleutians,False Pass,,,,,,,,0,,AEA,Early Release
2021,Southeast,False Island,1.3,0,1.3,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Fairbanks,42.2,36.8,5.4,0,0,0,0,0,,EIA860,Early Release
2021,Copper River/Chugach,Eyak Service Center BESS,1,0,0,0,0,0,1,0,,EIA860,Early Release
2021,Railbelt,Eva Creek Wind,24.6,0,0,0,24.6,0,0,0,,AEA,Early Release
2021,Kodiak,ESS Battery Microgrid,3,0,0,0,0,0,3,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Emmonak,3.6,0,3.2,0,0.4,0,0,0,,EIA860,Early Release
2021,Bering Straits,Elim,1.31,0,1.31,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Elfin Cove,,,,,,,,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Ekwok,0.32,0,0.32,0,0,0,0,,,No data,Early Release
2021,Railbelt,Eklutna Hydro Project,44.4,0,0,44.4,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Eklutna Generation Station,171,0,171,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Eielson AFB Central Heat & Power Plant,31,25,6,0,0,0,0,0,,EIA860,Early Release
2021,Bristol Bay,Egegik,1,0,1,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Eek,1.12,0,1.12,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Eagle,0.554,0,0.53,0,0,0.024,0,0,,AEA PH Assessment,Early Release
2021,Aleutians,Dutch Harbor,21.9,0,21.9,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bering Straits,Diomede,0.508,0,0.508,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Dillingham,11,0,11,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Dewey Lakes ,0.943,0,0,0.943,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,Delta Wind Farm,1.9,0,0,0,1.9,0,0,0,,EIA860,Early Release
2021,Railbelt,Delta Power,23.1,23.1,0,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Deering,0.7955,0,0.37,0,0.1,0.0485,0.277,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Crooked Creek,0.274,0,0.274,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Craig,6.8,0,6.8,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Cooper Lake,19.4,0,0,19.4,0,0,0,0,,EIA860,Early Release
2021,Aleutians,Cold Bay,,,,,,,,0,,EIA860,Early Release
2021,Southeast,Coffman Cove,0.7,0,0.7,0,0,0,0,0,,EIA860,Early Release
2021,Bristol Bay,Clark's Point,0.3498,0,0.3498,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Circle,0.29,0,0.29,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Chugach Storage,3,0,0,0,0,0,2,0,,AEA,Early Release
2021,Lower Yukon-Kuskokwim,Chuathbaluk,0.179,0,0.179,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Copper River/Chugach,Chitina,0.351,0,0.351,0,0,0,0,0,,EIA860,Early Release
2021,Copper River/Chugach,Chistochina,,,,,,,,0,,EIA860,Early Release
2021,Southeast,Chilkat Valley,0.55,0,0,0.55,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Chignik Lake,0.435,0,0.435,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Chignik Lagoon,0.66,0,0.493,0.167,0,0,0,0,,AEA PH Assessment,Early Release
2021,Bristol Bay,Chignik Bay,0.635,0,0.575,0.06,0,0,0,0,,0,Early Release
2021,Lower Yukon-Kuskokwim,Chevak,2.2,0,1.8,0,0.4,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Chester Lake,1.3,0,0,1.3,0,0,0,0,,AEA,Early Release
2021,Copper River/Chugach,Chenega Bay,0.487,0,0.487,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Chefornak,1.206,0,0.921,0,0.285,0,0,0,,AEA PH Assessment,Early Release
